Number of patents granted per year,
Calendar year when patent was granted,Number of Patents
1976,"70,907"
1977,"69,811"
1978,"70,574"
1979,"52,475"
1980,"66,188"
1981,"71,093"
1982,"63,274"
1983,"61,999"
1984,"72,651"
1985,"77,252"
1986,"77,025"
1987,"89,532"
1988,"84,412"
1989,"102,630"
1990,"99,197"
1991,"106,811"
1992,"107,480"
1993,"109,874"
1994,"113,679"
1995,"113,914"
1996,"121,798"
1997,"124,178"
1998,"163,265"
1999,"169,250"
2000,"176,183"
2001,"184,166"
2002,"184,445"
2003,"187,068"
2004,"181,393"
2005,"157,806"
2006,"196,457"
2007,"182,949"
2008,"185,240"
2009,"192,046"
2010,"244,582"
2011,"248,086"
2012,"277,277"
2013,"303,644"
2014,"327,008"
2015,"326,969"
2016,"334,674"
2017,"352,587"
2018,"341,103"
2019,"392,618"
2020,"390,572"
2021,"363,829"
2022,"360,417"
2023,"350,094"
2024,"373,852"
Total,"9,074,334"
,
,
